"artist","attack","cardClass","classes__001","classes__002","classes__003","collectible","collectionText","cost","dbfId","entourage__-","faction","entourage","durability","elite","flavor","howToEarn","health","hideStats","howToEarnGolden","id","mechanics__001","multiClassGroup","mechanics__002","mechanics__003","mechanics__004","name","playRequirements__REQ_FRIENDLY_MINION_DIED_THIS_GAME","playRequirements__REQ_MINION_OR_ENEMY_HERO","playRequirements__REQ_STEADY_SHOT","playRequirements__REQ_ENTIRE_ENTOURAGE_NOT_IN_PLAY","playRequirements__REQ_ENEMY_WEAPON_EQUIPPED","playRequirements__REQ_DAMAGED_TARGET","playRequirements__REQ_TARGET_IF_AVAILABLE_AND_MINIMUM_FRIENDLY_SECRETS","playRequirements__REQ_WEAPON_EQUIPPED","playRequirements__REQ_MINIMUM_TOTAL_MINIONS","playRequirements__REQ_TARGET_IF_AVAILABLE_AND_MINIMUM_FRIENDLY_MINIONS","playRequirements__REQ_LEGENDARY_TARGET","playRequirements__REQ_MINION_SLOT_OR_MANA_CRYSTAL_SLOT","playRequirements__REQ_FROZEN_TARGET","playRequirements__REQ_TARGET_FOR_COMBO","overload","playRequirements__REQ_MINIMUM_ENEMY_MINIONS","playRequirements__REQ_SECRET_ZONE_CAP_FOR_NON_SECRET","playRequirements__REQ_HERO_TARGET","playRequirements__REQ_FRIENDLY_TARGET","playRequirements__REQ_ENEMY_TARGET","playRequirements__REQ_MINION_TARGET","playRequirements__REQ_MUST_TARGET_TAUNTER","playRequirements__REQ_STEALTHED_TARGET","playRequirements__REQ_TARGET_WITH_DEATHRATTLE","playRequirements__REQ_NONSELF_TARGET","playRequirements__REQ_TARGET_IF_AVAILABE_AND_ELEMENTAL_PLAYED_LAST_TURN","playRequirements__REQ_TARGET_IF_AVAILABLE_AND_DRAGON_IN_HAND","playRequirements__REQ_TARGET_IF_AVAILABLE","playRequirements__REQ_TARGET_WITH_RACE","playRequirements__REQ_NUM_MINION_SLOTS","playRequirements__REQ_TARGET_MAX_ATTACK","playRequirements__REQ_TARGET_MIN_ATTACK","playRequirements__REQ_TARGET_TO_PLAY","playRequirements__REQ_UNDAMAGED_TARGET","playerClass","race","rarity","referencedTags__001","referencedTags__002","referencedTags__003","set","spellDamage","targetingArrowText","text","type"
"Anton Zemskov","","WARLOCK","","","","","","","41877","","","","","","","","","","","UNG_836e","","","","","","Remembrance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WARLOCK","","","","","","UNGORO","","","+2/+2 each time this is discarded.","ENCHANTMENT"
"","4","NEUTRAL","","","","","","3","3020","","","","","True","","","2","","","CRED_20","","","","","","Brian Birmingham","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","","LEGENDARY","","","","CREDITS","","","<b>Choose One</b> - Restore a Mech to full Health; or Give a Designer <b>Windfury.</b>","MINION"
"Dan Scott","5","NEUTRAL","","","","True","","6","424","","","","","","If she threatens to ""moon"" you, it's not what you think.","","4","","","EX1_583","BATTLECRY","","","","","Priestess of Elune","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","","COMMON","","","","EXPERT1","","","<b>Battlecry:</b> Restore 4 Health to your hero.","MINION"
"Raymond Swanland","6","WARRIOR","","","","True","","6","2024","","","","","True","The Iron Juggernaut guards Orgrimmar and has just earned the ""Employee of the Month"" award!","","5","","","GVG_056","BATTLECRY","","","","","Iron Juggernaut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WARRIOR","MECHANICAL","LEGENDARY","","","","GVG","","","<b>Battlecry:</b> Shuffle a Mine into your opponent's deck. When drawn, it explodes for 10 damage.","MINION"
"A.J. Nazzaro","3","NEUTRAL","","","","True","","3","41683","","","","","","Three time winner of the Un'Goro weapon eating contest.","","3","","","UNG_946","BATTLECRY","","","","","Gluttonous Ooze","","","","","","","","","","","","","","","","","","","0","","0","","","0","","","","","","","","","","","NEUTRAL","","EPIC","","","","UNGORO","","","<b>Battlecry:</b> Destroy your opponent's weapon and gain Armor equal to its Attack.","MINION"
"","3","NEUTRAL","","","","","","5","40387","","","","","","","","3","","","TB_Coopv3_103","","","","","","Intrepid Dragonstalker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","","","","","","TB","","","Whenever ANY player plays a card, gain +1/+1.","MINION"
"Jesper Ejsing","2","NEUTRAL","","","","True","","2","2517","","","","","","He'll never admit it, but he pushes you hard because he really cares about you.","","3","","","AT_080","","","","","","Garrison Commander","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","","EPIC","","","","TGT","","","You can use your Hero Power twice a turn.","MINION"
"","","NEUTRAL","","","","","","0","35040","","","LOEA16_10","","","","","","","","LOEA16_16","","","","","","Rummage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","","","","","","LOE","","","Find an artifact.","HERO_POWER"
"","","","","","","","","","","","","LOEA16_11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","LOEA16_14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","LOEA16_15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","LOEA16_6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","LOEA16_7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","LOEA16_9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","LOEA16_12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","LOEA16_13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","LOEA16_8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"James Ryman","","ROGUE","","","","","","5","41221","","","","","True","","","","","","UNG_067t1","RITUAL","","","","","Crystal Core","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ROGUE","","LEGENDARY","","","","UNGORO","","","For the rest of the game, your minions are 5/5.","SPELL"
"Chanchai Luechaiwattanasopon","","ROGUE","","","","True","","2","41207","","","","","","The result of a fundamental misunderstanding of the phrase ""flower power"".","","","","","UNG_057","","","","","","Razorpetal Volley","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ROGUE","","COMMON","","","","UNGORO","","","Add two Razorpetals to your hand that deal 1 damage.","SPELL"
"Jomaro Kindred","6","NEUTRAL","","","","True","","6","2736","","","","","True","It's like putting racing stripes and a giant spoiler on your hero power.","","3","","","AT_132","BATTLECRY","","","","","Justicar Trueheart","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","","LEGENDARY","","","","TGT","","","<b>Battlecry:</b> Replace your starting Hero Power with a better one.","MINION"
"","","MAGE","","","","","","2","39790","","","","","","","","","","","CS2_034_H2_AT_132","","","","","","Fireblast Rank 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","MAGE","","","","","","HERO_SKINS","","","<b>Hero Power</b>\nDeal $2 damage.","HERO_POWER"
"Sean McNally","3","SHAMAN","","","","True","","5","2615","","","","","","Allowing totems to attack is not cheating.  I mean, there isn't anything in the rule books about it.","","6","","","AT_049","INSPIRE","","","","","Thunder Bluff Valiant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SHAMAN","","RARE","","","","TGT","","","<b>Inspire:</b> Give your Totems +2 Attack.","MINION"
"L. Lullabi & K. Turovec","3","HUNTER","","","","True","","2","41358","","","","","","Wasn't clever enough to go AROUND the electric fence.","","2","","","UNG_915","BATTLECRY","","","","","Crackling Razormaw","","","","","","","","","","","","","","","","","","","0","","0","","","","","","","0","20","","","","","","HUNTER","BEAST","COMMON","ADAPT","","","UNGORO","","","<b>Battlecry:</b> <b>Adapt</b> a friendly Beast.","MINION"
"","","NEUTRAL","","","","","","0","40176","","","","","","","","","","","XXX_111","","","","","","AI Buddy - All Charge, All Windfury!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","","COMMON","","","","CHEAT","","","Play this card to give all minions <b>Charge</b> and <b>Windfury</b>.","SPELL"
"","7","DREAM","","","","","","4","489","","","","","","","","6","","","DREAM_03","","","","","","Emerald Drake","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DREAM","DRAGON","","","","","EXPERT1","","","","MINION"
"L. Lullabi & S. Srisuwan","","DRUID","","","","","","0","38716","","","","","","","","","","","OG_202a","","","","","","Y'Shaarj's Strength","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DRUID","","RARE","","","","OG","","","Summon a 2/2 Slime.","SPELL"
"","5","NEUTRAL","","","","","","5","38681","","","","","True","","","5","","","LOEA16_27","","","","","","The Steel Sentinel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","","LEGENDARY","","","","LOE","","","This minion can only take 1 damage at a time.","MINION"
"","0","NEUTRAL","","","","","","0","1865","","","","","","","","1","","","NAX6_03t","DEATHRATTLE","","","","","Spore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","","","","","","NAXX","","","<b>Deathrattle:</b> Give all enemy minions +8 Attack.","MINION"
"Charlene Le Scanff","","PRIEST","","","","True","","6","40938","","","","","","No one was brave enough to fire the dragon in person… so they made the potion do it.","","","","","CFM_662","","","","","","Dragonfire Potion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PRIEST","","EPIC","","","","GANGS","","","[x]Deal $5 damage to all\nminions except Dragons.","SPELL"
"","","NEUTRAL","","","","","","10","42840","","","","","","","","","","","TB_MammothParty_hp001","","","","","","Decorate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","","","","","","TB","","","<b>Hero Power</b>\nCreate *{0}* |4(decoration, decorations) for the Tavern.\nProgress: {1}/25","HERO_POWER"
"Howard Lyon","2","NEUTRAL","","","","True","","3","2581","","","","","","Good fencers make good neighbors, right?","","2","","","AT_115","BATTLECRY","","","","","Fencing Coach","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","NEUTRAL","","RARE","","","","TGT","","","<b>Battlecry:</b> The next time you use your Hero Power, it costs (2) less.","MINION"
"Dan Scott","2","PRIEST","","","","True","","2","2040","","","","","","Punching is its primary function. Also, its secondary function.","","3","","","GVG_072","","","","","","Shadowboxer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PRIEST","MECHANICAL","RARE","","","","GVG","","","Whenever a character is healed, deal 1 damage to a random enemy.","MINION"
"","","NEUTRAL","","","","","","","978","","","","","","","","","","","CS2_181e","","","","","","Full Strength","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","","","","","","EXPERT1","","","This minion has +2 Attack.","ENCHANTMENT"
"James Ryman","","NEUTRAL","","","","","","","42991","","","","","","","","","","","UNG_067t1e","","","","","","Crystallized","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","","","","","","UNGORO","","","Your minions are 5/5.","ENCHANTMENT"
"","","NEUTRAL","","","","","","0","2588","","","","","","","","","","","BRMA02_2H","","","","","","Jeering Crowd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","NEUTRAL","","","","","","BRM","","","<b>Hero Power</b>\nSummon a 1/1 Spectator with <b>Taunt</b>.","HERO_POWER"
"Christopher Moeller","","DRUID","","","","True","","4","2785","","","","","","Hey!  Moon!  Can I have some mana crystals?","","","","","AT_043","","","","","","Astral Communion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DRUID","","EPIC","","","","TGT","","","Gain 10 Mana Crystals. Discard your hand.","SPELL"
